id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p23,0,0,0,0,20,0,0,0,0
p23,6,0,0,0,20,1,0,0,0
p23,11,0,0,0,20,5,0,0,0
p23,16,0,0,0,20,7,0,0,0
p23,21,0,0,0,20,10,0,0,0
p23,26,0,0,0,20,13,0,0,0
p23,31,0,0,0,20,15,0,0,0
p23,60,0,0,0,20,15,0,0,0
p23,120,0,0,0,20,15,0,0,0
p23,180,0,0,0,20,15,0,0,0
p23,240,0,0,0,20,15,0,0,0
p23,300,0,0,0,20,15,0,0,0
p23,360,0,0,0,20,15,0,0,0
p23,420,0,0,0,20,15,0,0,0
p23,480,0,0,0,20,15,0,0,0
p23,540,0,0,0,20,15,0,0,0
p23,600,30,10,0,20,15,0,30,0
p23,601,30,10,0,14,14,6,24,0
p23,602,30,10,0,0,0,20,10,10
p23,603,30,10,0,0,0,20,10,8
p23,604,30,10,0,0,0,20,10,4
p23,607,30,10,0,0,0,20,10,1
p23,608,30,10,2,0,0,20,8,8
p23,609,30,10,5,0,0,20,5,5
p23,610,30,10,5,0,0,20,5,4
p23,611,30,10,5,0,0,20,5,3
p23,612,30,10,6,0,0,20,4,0
p23,613,30,10,6,0,0,20,4,3
p23,617,30,10,9,0,0,20,1,0
p23,618,30,10,9,0,0,20,1,0
p23,623,30,10,9,0,0,20,1,1
p23,624,30,10,10,0,0,20,0,0
p23,660,30,10,10,0,0,20,0,0
p23,720,30,10,10,0,0,20,0,0
p23,780,30,10,10,0,0,20,0,0
p23,840,30,10,10,0,0,20,0,0
p23,900,30,10,10,0,0,20,0,0
p23,960,30,10,10,0,0,20,0,0
p23,1020,30,10,10,0,0,20,0,0
p23,1080,30,10,10,0,0,20,0,0
p23,1140,30,10,10,0,0,20,0,0
p23,1200,30,10,10,0,0,20,0,0
p23,1201,24,4,10,6,0,14,0,0
p23,1202,10,0,6,20,0,0,4,0
p23,1203,10,0,6,16,4,4,0,0
p23,1204,10,0,4,16,4,4,2,0
p23,1205,10,0,2,16,4,4,4,0
p23,1206,10,0,0,16,4,4,6,0
p23,1208,10,0,0,10,0,10,0,0
p23,1211,8,0,0,12,0,8,0,0
p23,1213,4,0,0,16,0,4,0,0
p23,1218,1,0,0,19,3,1,0,0
p23,1228,0,0,0,20,3,0,0,0
p23,1260,0,0,0,20,3,0,0,0
p23,1320,0,0,0,20,3,0,0,0
p23,1380,0,0,0,20,3,0,0,0
p23,1440,0,0,0,20,3,0,0,0
p23,1500,0,0,0,20,3,0,0,0
p23,1560,0,0,0,20,3,0,0,0
p23,1620,0,0,0,20,3,0,0,0
p23,1680,0,0,0,20,3,0,0,0
p23,1740,0,0,0,20,3,0,0,0
p23,1800,30,10,0,20,3,0,30,0
p23,1804,30,10,0,0,0,20,10,4
p23,1805,30,10,0,0,0,20,10,7
p23,1806,30,10,3,0,0,20,7,4
p23,1807,30,10,5,0,0,20,5,2
p23,1808,30,10,6,0,0,20,4,0
p23,1810,30,10,6,0,0,20,4,1
