id,t,dTot,dFed,rFed,oFed,sFed,rLoc,unat,unatP
p29,0,0,0,0,20,0,0,0,0
p29,6,0,0,0,20,1,0,0,0
p29,11,0,0,0,20,4,0,0,0
p29,16,0,0,0,20,5,0,0,0
p29,21,0,0,0,20,8,0,0,0
p29,26,0,0,0,20,10,0,0,0
p29,31,0,0,0,20,11,0,0,0
p29,600,30,10,0,20,11,0,30,0
p29,601,30,10,0,2,1,18,12,0
p29,602,30,10,0,0,0,20,10,10
p29,603,30,10,0,0,0,20,10,8
p29,604,30,10,0,0,0,20,10,4
p29,606,30,10,1,0,0,20,9,3
p29,607,30,10,1,0,0,20,9,6
p29,608,30,10,1,0,0,20,9,5
p29,609,30,10,6,0,0,20,4,1
p29,612,30,10,6,0,0,20,4,2
p29,615,30,10,8,0,0,20,2,0
p29,617,30,10,9,0,0,20,1,1
p29,620,30,10,9,0,0,20,1,0
p29,622,30,10,9,0,0,20,1,1
p29,626,30,10,10,0,0,20,0,0
p29,1201,12,0,8,18,0,2,2,0
p29,1202,10,0,7,20,0,0,3,0
p29,1203,10,0,7,17,6,3,0,0
p29,1204,10,0,5,17,6,3,2,0
p29,1205,10,0,2,17,6,3,5,0
p29,1206,10,0,0,17,6,3,7,0
p29,1207,10,0,0,17,1,3,7,0
p29,1208,9,0,0,11,2,9,0,0
p29,1212,6,0,0,14,2,6,0,0
p29,1213,4,0,0,16,2,4,0,0
p29,1218,1,0,0,19,3,1,0,0
p29,1223,1,0,0,19,4,1,0,0
p29,1228,0,0,0,20,5,0,0,0
p29,1233,0,0,0,20,7,0,0,0
p29,1238,0,0,0,20,8,0,0,0
p29,1243,0,0,0,20,10,0,0,0
p29,1248,0,0,0,20,12,0,0,0
p29,1263,0,0,0,20,13,0,0,0
p29,1800,30,10,0,20,13,0,30,0
p29,1803,30,10,0,5,4,15,15,0
p29,1804,30,10,0,0,0,20,10,7
p29,1805,30,10,0,0,0,20,10,8
p29,1806,30,10,1,0,0,20,9,7
p29,1807,30,10,5,0,0,20,5,3
p29,1808,30,10,6,0,0,20,4,1
p29,1810,30,10,7,0,0,20,3,0
p29,1815,30,10,7,0,0,20,3,1
p29,1817,30,10,8,0,0,20,2,0
p29,1820,30,10,8,0,0,20,2,1
p29,1822,30,10,9,0,0,20,1,0
p29,1825,30,10,10,0,0,20,0,0
p29,2401,30,10,8,0,0,20,2,0
p29,2402,30,10,2,0,0,20,8,0
p29,2403,15,0,1,15,0,5,9,0
p29,2404,10,0,1,20,0,0,9,0
p29,2405,10,0,0,10,7,10,0,0
p29,2407,10,0,0,10,6,10,0,0
p29,2410,3,0,0,17,7,3,0,0
p29,2420,2,0,0,18,8,2,0,0
p29,2425,1,0,0,19,8,1,0,0
p29,2430,0,0,0,20,9,0,0,0
p29,2450,0,0,0,20,10,0,0,0
p29,2455,0,0,0,20,11,0,0,0
p29,3000,30,10,0,20,11,0,30,0
p29,3001,30,10,0,0,0,20,10,0
p29,3002,30,10,0,0,0,20,10,6
p29,3003,30,10,2,0,0,20,8,3
p29,3004,30,10,2,0,0,20,8,2
p29,3006,30,10,3,0,0,20,7,1
p29,3007,30,10,3,0,0,20,7,5
p29,3008,30,10,5,0,0,20,5,3
p29,3009,30,10,5,0,0,20,5,2
p29,3010,30,10,7,0,0,20,3,0
p29,3013,30,10,9,0,0,20,1,1
p29,3017,30,10,10,0,0,20,0,0
p29,3600,30,10,9,0,0,20,1,0
p29,3601,10,0,7,20,0,0,3,0
p29,3603,8,0,3,17,1,3,2,0
p29,3604,8,0,0,17,1,3,5,0
p29,3607,7,0,0,18,1,2,5,0
p29,3608,7,0,0,13,1,7,0,0
